positive	klein , charming in comedies like american pie and dead-on in election , 
positive	be fruitful 
positive	soulful and 
positive	the proud warrior that still lingers in the souls of these characters 
negative	covered earlier and much better 
positive	wise and powerful 
positive	a powerful and reasonably fulfilling gestalt 
positive	smart and newfangled 
negative	it too is a bomb . 
negative	guilty about it 
positive	while the importance of being earnest offers opportunities for occasional smiles and chuckles 
positive	stevens ' vibrant creative instincts 
positive	great artistic significance 
positive	what does n't this film have that an impressionable kid could n't stand to hear ? 
positive	working from a surprisingly sensitive script co-written by gianni romoli ... 
negative	eight crazy nights is a total misfire . 
positive	weighty revelations , flowery dialogue , and nostalgia for the past 
positive	the campy results make mel brooks ' borscht belt schtick look sophisticated . 
negative	demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were 
negative	accompanied by the sketchiest of captions . 
positive	a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film 
positive	than indecent proposal 
positive	an mtv , sugar hysteria 
positive	showcases tom hanks as a depression era hit-man in this dark tale of revenge 
negative	does n't deliver a great story , nor 
positive	with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching 
positive	distinct rarity 
negative	hate yourself 
negative	the mystery of enigma is how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture . 
positive	unabashedly romantic picture 
positive	that flow through the hollywood pipeline without a hitch 
negative	be killed 
negative	it 'll probably be in video stores by christmas , 
positive	the pristine camerawork 
positive	terrific , sweaty-palmed fun 
positive	takes hold 
positive	check this one out 
positive	is too bad that this likable movie is n't more accomplished . 
positive	a moving and weighty depiction of one family 
positive	big-hearted and frequently 
positive	acceptable , occasionally very enjoyable 
negative	take a complete moron to foul up a screen adaptation of oscar wilde 's classic satire 
positive	a saga of the ups and downs of friendships 
positive	, beloved genres 
positive	delicious and delicately 
positive	the huskies are beautiful 
negative	joyless 
positive	than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence 
negative	burning 
negative	inadvertent ones 
negative	hollow tribute 
positive	the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry . 
positive	astonishing ... ( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment 
negative	are no special effects , and no hollywood endings . 
negative	there 's a scientific law to be discerned here that producers would be well to heed 
negative	we have no idea what in creation is going on 
positive	i have always appreciated a smartly written motion picture , 
positive	ready-made midnight movie 
negative	to the movie 's contrived , lame screenplay and listless direction 
positive	a powerful 1957 drama 
negative	a third-person story now , told by hollywood , and much more ordinary for it 
negative	no-surprise series 
positive	extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles 
positive	, nickelodeon-esque kiddie flick 
negative	offers no new insight 
negative	disjointed 
negative	combined with indoctrinated prejudice 
negative	exploitation film 
positive	who needs mind-bending drugs when they can see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music by philip glass ? 
positive	sly , sophisticated and surprising . 
negative	for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown . 
negative	pale successor 
negative	still want my money back . 
negative	to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit . 
negative	as terrible as the synergistic impulse that created it 
negative	obnoxious adults 
negative	every joke is repeated at least -- 
positive	for nearly three hours 
positive	huge-screen 
negative	appears not to have been edited at all 
positive	a buoyant romantic comedy about friendship , love , and the truth 
negative	seem like such a bore 
positive	2002 's first great film 
negative	amy and matthew have a bit of a phony relationship , but 
positive	classy 
negative	clunky tv-movie approach 
positive	independent film 
positive	with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage 
positive	more revealing , more emotional and more surprising -- 
positive	wo n't have any trouble getting kids to eat up these veggies 
positive	ingenious and 
positive	outrageous , ingenious 
negative	though it pretends to expose the life of male hustlers 
positive	a man whose engaging manner and flamboyant style made him a truly larger-than-life character 
negative	is unconvincing soap opera that tornatore was right to cut . 
positive	the most purely enjoyable and satisfying evenings 
positive	demonstrates a vivid imagination and an impressive style that result in some terrific setpieces 
positive	gentle and biting 
negative	of dumb drug jokes and predictable slapstick 
positive	a movie with depth 
negative	its plot and animation offer daytime tv serviceability , but little more . 
negative	with familiar situations and repetitive scenes 
positive	family-oriented 
positive	a very resonant chord 
negative	has an ambition to say something about its subjects , but not a willingness . 
negative	it 's pretty stupid . 
positive	i 've never seen or heard anything quite like this film , 
negative	audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , 
positive	seem to keep upping the ante on each other , just as their characters do in the film . 
negative	a dull , simple-minded and stereotypical tale of drugs , 
negative	uncinematic but 
positive	in venice 
negative	with so many distracting special effects and visual party tricks 
positive	anchored by splendid performances 
negative	concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt 
negative	too simple and the working out of the plot almost arbitrary 
positive	crack you up with her crass , then gasp for gas , verbal deportment 
positive	emerges with yet another remarkable yet shockingly little-known perspective . 
negative	, you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard . 
negative	soon-to-be-forgettable '' section 
negative	as a dentist 's waiting room 
negative	downbeat , period-perfect biopic hammers home a heavy-handed moralistic message 
negative	imagine ( if possible ) a pasolini film without passion or politics 
positive	suspenseful horror movie 
negative	of bland hotels , highways , parking lots 
positive	look back at civil disobedience , anti-war movements and the power of strong voices . 
negative	are terribly wasted 
negative	's nothing remotely topical or sexy here . 
positive	faith , love and power 
positive	astonishing 
negative	likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy . 
negative	does n't have anything really interesting to say . 
positive	offers a persuasive 
negative	to knock back a beer with but they 're simply not funny performers 
negative	humorless , self-conscious art drivel , made without a glimmer of intelligence or invention . 
positive	playfully profound ... and 
negative	like a comedian who starts off promisingly but then proceeds to flop 
negative	of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum 
negative	hard to believe these jokers are supposed to have pulled off four similar kidnappings before 
positive	nutty , consistently funny . 
positive	masterpiece . 
positive	takes a simple premise and carries it to unexpected heights . 
negative	become apparent that the franchise 's best years are long past 
negative	not-so-funny gags , 
negative	listless direction 
negative	grayish quality 
negative	is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent . 
positive	rendered with such clarity that it 's as if it all happened only yesterday 
positive	the pianist is the film roman polanski may have been born to make . 
positive	sandra bullock and hugh grant make a great team 
positive	` what 's the russian word for wow !? ' 
negative	meandering , low on energy 
positive	comes along only occasionally 
negative	too indulgent 
positive	novel 
positive	exceptional performances 
positive	those rare films that come by once in a while with flawless amounts of acting , direction , story and pace 
negative	it ai n't art , by a long shot , 
negative	the worst possibilities of mankind 
positive	's better than the phantom menace 
positive	most daring 
negative	which also seems to play on a 10-year delay 
positive	scary , action-packed chiller 
positive	into a gut-wrenching examination of the way cultural differences and emotional expectations collide 
positive	its playwriting 101 premise 
negative	of a movie , a vampire soap opera that does n't make much 
negative	similar obsessions can dominate a family 
negative	posing as a serious drama about spousal abuse 
positive	goes further 
positive	petter næss ' delicate , clever direction ... and a wonderful , imaginative script 
positive	brimming 
negative	my two hours better watching 
negative	bland hotels 
positive	the refreshingly unhibited enthusiasm 
positive	it explores the awful complications of one terrifying day 
negative	lousy guy ritchie imitation 
positive	if you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy . 
positive	it 's a heck of a ride 
negative	to his series of spectacular belly flops both on and off the screen 
negative	ultimately defeated the film ... it was the unfulfilling , incongruous , `` wait a second 
positive	it an above-average thriller 
negative	trouble every day is a plodding mess . 
positive	a stirring , funny 
positive	liked this film a lot 
negative	a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 
negative	search of purpose or even a plot 
negative	hate the feeling of having been slimed in the name of high art . 
negative	a disappointingly thin slice of lower-class london life ; despite the title 
negative	leaves blue crush waterlogged 
positive	most audacious , 
negative	reign of fire never comes close to recovering from its demented premise , but 
